Community	HI14	UNEMP14	NOHS14	DEP14	HOUS14	POV14	INC14	HI17	UNEMP17	NOHS17	DEP17	HOUS17	POV17	INC17
Rogers_Park	39.7	9.3	16.4	27.2	7.1	24	24323	39.4	7.7	9.5	26.2	6.6	22.6	25874
West_Ridge	44.3	10	17.1	38.3	7.6	17.4	23498	47.3	8.6	11.7	37.9	7.7	16.8	24721
Uptown	29.9	10.1	10.8	23.3	3.8	23.9	37180	31.5	6.6	7.8	24.3	4.7	21.3	37869
Lincoln_Square	23.8	7.9	10.6	26	1.6	12.7	39524	21.7	4.2	6	25.8	1.7	10.8	44432
North_Center	14.9	4.6	6	27.8	0.6	6.1	56893	16.9	3.6	4.4	32.2	0.7	5.2	64494
Lakeview	9.6	4.2	2.4	17.6	1	11.3	61610	9.9	3.1	1.6	19.5	1.6	9.2	67066
Lincoln_Park	11.1	4.8	3.1	22.7	0.7	12.5	68682	10.3	3.1	1.7	22.9	1.1	10.7	73965
Near_North_Side	8.6	6.7	2.4	22.6	1.3	12.2	86068	8.6	3.9	1.9	23.7	1.9	10.8	91948
Edison_Park	24.4	6.7	7.8	36.3	1.9	2.9	40833	21.8	2.9	3.6	37.7	1	4.3	51423
Norwood_Park	28.6	8.4	7.8	39.7	1.1	7.6	35120	28.2	4.7	5.7	38.7	1.3	8	40219
Jefferson_Park	33.7	10.3	13.4	36.1	3.3	10.3	30964	31.3	5.7	8.2	35.2	2.9	7.4	35183
Forest_Glen	25.6	6.2	4.8	42	1	6.8	43682	26.7	3.8	3.8	42.8	1	6.5	47342
North_Park	37.2	10	12	40.9	3.2	13.6	26931	42.8	7	8.7	42.7	5	15.5	28173
Albany_Park	47	10	26.9	32.2	9.5	18.3	23240	45.7	7.1	14.3	32	8.6	16.5	25848
Portage_Park	36.3	11.9	18.1	32.5	2.9	14.2	24459	36.2	7	10.7	33	3.5	13.2	28866
Irving_Park	38.2	9.1	21.2	31.1	5.9	13.7	26001	32.3	5.8	10.3	30.2	3.5	10.3	31043
Dunning	31.9	9.4	14.4	33.9	1.6	11.1	26229	33.4	5.1	9	37.4	2	9.6	29080
Montclare	46.2	12.3	23.9	36.5	6.8	16.2	19895	43.9	7.5	15.3	36.9	4.7	15.6	26831
Belmont_Craigin	57	14.2	38.8	37.3	9.7	18.5	15978	55.9	9.2	22.2	36.6	8.2	18.7	17965
Hermosa	55.2	12.4	41.5	36.1	7	23.5	14789	54.3	7.4	24	35.1	6.6	22.3	17896
Avondale	40.3	8.5	26.2	31.2	4.7	17.2	21240	38.6	5.5	16.4	30.5	3.3	16.4	26860
Logan_Square	29.5	7.1	13.8	26.5	3.6	16.6	33123	25.6	4.2	7.9	26	2.7	13	41065
Humboldt_Park	63.6	17.5	30.6	38.3	12.1	32.3	14366	60.3	12.1	16.9	38.5	9.1	30.1	15849
West_Town	22.3	7.5	12.2	22.1	2.4	13.3	44373	18.7	4.7	7	21	2	11.5	54429
Austin	55.7	22.1	24.5	39	5.5	29.8	15478	53.1	15.4	13.6	38.6	4.4	28.1	17586
W_Garfield_Park	66.5	20.5	27.1	42.2	9	44.2	11309	68.3	20	15.5	43	8	40.5	12483
E_Garfield_Park	58.8	20.6	21	39.1	6.2	41.5	13223	58.9	18.5	12.7	38.5	4.7	40.7	14638
Near_West_Side	26.8	10.7	8.4	21.1	4.3	21.4	43503	26.6	8.3	5.6	22.2	4.2	20.5	50394
North_Lawndale	65.1	25.4	26.9	40.7	7.2	41.6	11686	59.8	19.9	14.2	38.9	4.4	37.8	13236
South_Lawndale	73.6	15.5	54.2	34.9	15.5	33.3	10138	70.6	8.7	28.8	35.3	13.6	30.3	11345
Lower_West_Side	55.4	14.3	35.1	33.4	9.2	26	17225	50.1	7	22.2	32	6.1	22.1	21131
Loop	8.6	5.2	2.3	14.7	1.7	13.9	69116	9	4.6	1.4	16.7	2.8	11.3	77722
Near_South_Side	14.3	4.8	6.5	23.5	1.9	11.2	65257	11.2	3	2.7	24.1	2.4	10	82859
Armour_Square	56.6	15.1	33.7	38.3	4.4	39.1	15858	63.5	11.7	25	40.4	5.7	38.2	19067
Douglas	40.7	18.4	14.5	29.5	1.1	32.8	22446	42.5	15	7.7	30.4	2.4	32.8	24056
Oakland	55.4	27.6	18.9	39.2	2.5	41.1	21431	53.2	22.6	9.1	40.1	2.5	33.2	20884
Fuller_Park	64.5	36.5	24	44.5	1	45.4	15730	64.9	30.7	20	41.7	1.7	33.8	17515
Grand_Boulevard	49.6	24.3	15.7	38	2.6	32.5	22225	49.8	19.6	9.7	38.7	2	32.5	24616
Kenwood	34.1	14	9.7	34.7	1.6	22.2	36325	34.6	10.8	5.5	35.4	1.8	23.7	42491
Washington_Park	66.2	29.7	21.5	45.4	5.5	44.3	13532	60.2	23.2	10	42.2	3.9	38.9	14203
Hyde_Park	26	8.3	4.1	26.2	2	21.2	34949	25.3	6.7	2.2	26.4	1.6	23.3	41719
Woodlawn	50.9	22.3	16.4	37.1	3.4	34.5	17728	50.4	16.9	8.2	36.7	3.5	35.2	19117
South_Shore	50.3	22.6	14.4	36.8	3.8	33.8	18515	51.4	18.9	7.5	37.5	3.2	36.9	20067
Chatham	46.6	22.6	13.1	37.6	3	26	20494	47.9	19	8	37.9	2.9	26.1	21416
Avalon_Park	42.4	22.2	10.5	38.8	2.5	17.4	23395	47.6	17.8	9.8	40.6	1.9	23.5	22578
South_Chicago	55.8	21.6	25.4	40.2	4.9	30.2	15748	54.9	20.3	11.6	41.1	3.4	28.9	16996
Burnside	53.4	16.1	21.8	39.7	6.8	27.6	14905	51.2	22.3	10.4	41.1	1.3	24.9	17678
Calumet_Heights	39.7	21.2	10.5	42.5	1.5	10.7	27390	38.4	12.3	8.1	37.8	2	13.7	27488
Roseland	50.5	24.9	16.2	41.9	2.8	23.6	17146	52.6	24.3	9.6	41.8	2.2	24	19755
Pullman	45.4	25.7	15.4	36	1	24.8	20312	43.3	17.4	8.6	35.9	2	21.1	23659
South_Deering	52.6	21.7	21.3	40.3	3.8	27.4	15213	58.1	22.4	14.1	43.4	3.2	27.3	16207
East_Side	53.9	17.8	30	41.2	6.8	17.2	17019	56.7	18.1	18.1	41	5.3	18.5	17931
West_Pullman	53.8	25.6	19	40.5	3.5	29.4	16259	54.3	25.1	10.1	41.1	3.2	23.9	18007
Riverdale	82.7	40.4	26.5	49.1	8	58	7478	84.2	35.6	9.3	47.6	10.5	58.8	9601
Hegewisch	40.2	9.4	18	40.9	3.2	16.3	24036	37	8.3	9.5	34.3	3	15.2	27546
Garfield_Ridge	35.4	12	17.8	36.9	2.3	8.3	26893	38.7	9.4	12.4	37.5	3.6	6.3	28925
Archer_Heights	54.4	14.3	32.2	38.5	9.8	14.6	16507	56.1	9.2	17.9	40.2	9.7	15.9	18497
Brighton_Park	65.4	14.8	45.7	37.5	12.6	24.9	12981	66.1	10.9	24.2	37.7	12.7	23.2	15552
McKinley_Park	50	14	31.1	35.8	5.8	21.6	17374	51.5	12	18.4	34.6	5.5	23.1	19923
Bridgeport	41.2	13.2	23.1	30.2	4.3	20.1	22319	41.9	8.9	15.1	30.2	4.7	18.4	25373
New_City	69.1	24.9	37.3	38.8	11.6	31.8	12426	62.6	18.3	17.1	39.4	8.2	28	14267
West_Elsdon	52.3	13.4	31	38.7	8.3	15.2	15921	49.2	11.8	16.2	37.7	6.4	10.7	19283
Gage_Park	70.6	16.2	48.9	38.5	15.4	23.8	11814	65.3	13.7	22.4	39	12.1	18.5	13605
Clearning	35.9	10.3	16.5	37.2	2.9	9.6	24451	38.8	10.1	9.9	36.4	3.6	9.9	25722
West_Lawn	50.9	12.9	33.5	38.1	6.8	16.2	17237	53.7	13.1	18.6	38.7	6.8	14.5	18633
Chicago_Lawn	61.1	22.4	30.3	38.8	7.6	31.4	12673	59.2	22	17.2	37.2	5.2	27.4	14618
West_Englewood	64.8	36.8	25.3	40.4	4.8	34.6	12073	63.3	31.6	14	41.8	3.3	30.5	14836
Englewood	68.9	36.8	28.5	39.5	4.1	48.3	11281	70.5	34.1	16.1	41.5	4	42.4	12777
G_Grand_Cross	54.8	25.8	15.1	40.1	4.2	34.6	16324	54.3	22	9.1	37.9	3.2	35.4	16719
Ashburn		37.6	13	16.3	35.7	3.5	10.8	23404	40.8	13	9.6	36.9	3.3	11.3	23990
Auburn_Gresham	53.5	28	17.9	40.7	2.8	28.4	16432	51.5	21.1	11.3	39.2	1.9	27.9	18473
Beverly	23.3	7.4	2.7	38	1.2	4.2	41789	24.5	6.2	2.3	39.7	0.3	5.5	44979
Wash_Heights	42.7	23.2	11.2	38.8	1.5	17.2	19806	43.3	18.3	7.2	38.2	1.4	20.2	22275
Mount_Greenwood	26.6	8.6	4.7	36.7	2	4.7	33893	25.6	3.1	2.8	36.4	2.4	4.6	36365
Morgan_Park	37.2	14	11.2	39.5	1.9	14.4	25167	36.7	11.7	5.8	41.4	0.4	15.5	29636
Ohare	36.7	8.9	11.7	33.6	4.7	18.1	23908	33.8	7.7	8.8	31.2	2.8	14.1	28606
Edgewater	28.6	9.3	9.2	24.7	4.2	17.6	35300	28.9	6.2	7.3	25.2	4.1	15.8	38748
